B.TECH FOOD CORNER
 Bill Number: 7524
 Customer Name: 
 Phone Number: 
 E-mail: 
==================================================================================
Food Items                              Plate(s)                         Price(Rs)
==================================================================================

Cheese burger                              1                                100   
Cheese burger                              1                                100   
Cheese burger                              1                                100   
Cheese burger                              1                                100   
Cheese burger                              1                                100   
Aloo tikki burger                          1                                60    
Aloo tikki burger                          1                                60    
Aloo tikki burger                          1                                60    
Aloo tikki burger                          1                                60    
Aloo tikki burger                          1                                60    
